,Street,City,State,Zip,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,County,Country,Source,Census Year,State FIPS,County FIPS,Place Name,Place FIPS,Census Tract Code,Census Block Code,Census Block Group,Full FIPS,Metro/Micro Statistical Area Name,Metro/Micro Statistical Area Code,Metro/Micro Statistical Area Type,Combined Statistical Area Name,Combined Statistical Area Code,Metropolitan Division Area Name,Metropolitan Division Area Code,count
180,1240 E Mulkey St , Fort Worth, TX,76104,32.715402,-97.310791,1,rooftop,1240,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,104505,1010,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
181,2528 Lowriemore Ln , Fort Worth, TX,76105,32.710178,-97.289462,1,rooftop,2528,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,104604,2044,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
182,3334 Heritage Ln , Forest Hill, TX,76140,32.648578,-97.272001,1,rooftop,3334,Tarrant County,US,Tarrant County,2019,48,48439,Forest Hill,4826544,111102,3027,3,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
183,404 Kings Way Dr A, Mansfield, TX,76063,32.560448,-97.126587,1,rooftop,404,Tarrant County,US,Tarrant County,2019,48,48439,Mansfield,4846452,111309,1010,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
184,3057 San Marcos Dr , Fort Worth, TX,76116,32.729196,-97.467934,1,rooftop,3057,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,105205,2001,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
185,605 Blue Lake Dr  , Fort Worth, TX,76103,32.766298,-97.253839,1,rooftop,605,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,106507,2007,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
186,3532 Chatham Green Ln , Arlington, TX,76014,32.687127,-97.112785,1,range_interpolation,3532,Tarrant County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48439,Arlington,4804000,111525,4000,4,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
187,5513 Crosscreek Ln , Benbrook, TX,76109,32.693546,-97.413977,1,range_interpolation,5513,Tarrant County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48439,Benbrook,4807552,105405,2001,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,2
189,401 S 2Nd Ave , Mansfield, TX,76063,32.560231,-97.144502,1,rooftop,401,Tarrant County,US,Tarrant County,2019,48,48439,Mansfield,4846452,111306,2031,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
190,3545 Kellis St 3545, Fort Worth, TX,76119,32.687016,-97.272402,0.9,rooftop,3545,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,104603,3001,3,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
191,5017 Chapman St , Fort Worth, TX,76105,32.723825,-97.246083,1,rooftop,5017,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,103601,1025,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
192,3402 Steeplechase Trl , Arlington, TX,76016,32.692034,-97.179036,1,rooftop,3402,Tarrant County,US,Tarrant County,2019,48,48439,Arlington,4804000,111529,2017,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
193,705 Colleyville Ter , Colleyville, TX,76034,32.890629,-97.15669,1,rooftop,705,Tarrant County,US,Tarrant County,2019,48,48439,Colleyville,4815988,113610,3012,3,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
194,5501 Humbert Ave , Fort Worth, TX,76107,32.718506,-97.404625,1,rooftop,5501,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,102500,4021,4,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
195,5408 Helmick Ave , Fort Worth, TX,76107,32.717149,-97.403149,1,rooftop,5408,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,102500,4025,4,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
196,2804 Glen Hollow Cir , Arlington, TX,76016,32.676173,-97.155583,1,rooftop,2804,Tarrant County,US,Tarrant County,2019,48,48439,Arlington,4804000,111546,1003,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
197,10617 Highland Ridge Rd , Fort Worth, TX,76108,32.747955,-97.510622,1,rooftop,10617,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,110806,1008,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
198,107 Maple St  , Arlington, TX,76011,32.744095,-97.106167,1,rooftop,107,Tarrant County,US,Tarrant County,2019,48,48439,Arlington,4804000,121704,2020,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
199,5326 Hastings Dr , Fort Worth, TX,76133,32.646641,-97.408021,1,range_interpolation,5326,Tarrant County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48439,Fort Worth,4827000,105503,6005,6,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
200,1600 Toplea Dr , Euless, TX,76040,32.830412,-97.107963,1,rooftop,1600,Tarrant County,US,Tarrant County,2019,48,48439,Euless,4824768,113512,4004,4,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
201,306 Bayless Dr  , Euless, TX,76040,32.830362,-97.087889,1,rooftop,306,Tarrant County,US,Tarrant County,2019,48,48439,Euless,4824768,113514,3005,3,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
202,9129 Riding Stable Ln , Fort Worth, TX,76123,32.608979,-97.376533,1,rooftop,9129,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,111011,2014,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
203,5904 Wilkes Dr , Fort Worth, TX,76119,32.699265,-97.230018,1,rooftop,5904,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,106400,2037,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
204,602 Windgate Ct 1, Arlington, TX,76012,32.739873,-97.154171,1,rooftop,602,Tarrant County,US,Tarrant County,2019,48,48439,Arlington,4804000,121601,3003,3,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
205,3570 Paramount , North Richland Hills, TX,76117,32.815083,-97.261633,1,rooftop,3570,Tarrant County,US,Tarrant County,2019,48,48439,North Richland Hills,4852356,113206,4013,4,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
206,6702 Ridgecrest Ct , Fort Worth, TX,76133,32.645842,-97.362818,1,range_interpolation,6702,Tarrant County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48439,Fort Worth,4827000,105704,4005,4,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
207,2609 Creekview Dr , Arlington, TX,76016,32.700565,-97.17276,1,rooftop,2609,Tarrant County,US,Tarrant County,2019,48,48439,Arlington,4804000,111529,1017,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
208,125 Wanda Way 109, Hurst, TX,76053,32.80983,-97.165624,1,rooftop,125,Tarrant County,US,Tarrant County,2019,48,48439,Hurst,4835576,113407,3020,3,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,5
209,500 S Main St , Euless, TX,76040,32.831323,-97.082718,1,rooftop,500,Tarrant County,US,Tarrant County,2019,48,48439,Euless,4824768,113514,2007,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
210,1213 E Powell Ave , Fort Worth, TX,76104,32.719251,-97.31222,1,range_interpolation,1213,Tarrant County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48439,Fort Worth,4827000,123500,3022,3,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
211,4853 Trail Hollow Dr , Fort Worth, TX,76244,32.927841,-97.279238,1,rooftop,4853,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,113921,6022,6,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
212,9009 Old Clydesdale Dr , Fort Worth, TX,76123,32.610669,-97.384098,1,rooftop,9009,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,111011,2043,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
213,305 Crowe Dr , Euless, TX,76040,32.834002,-97.105443,1,rooftop,305,Tarrant County,US,Tarrant County,2019,48,48439,Euless,4824768,113511,2015,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
214,5500 David Strickland Rd , Fort Worth, TX,76119,32.681192,-97.237614,1,rooftop,5500,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,106400,1004,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
215,7600 Acapulco Rd , Fort Worth, TX,76112,32.743279,-97.191987,1,rooftop,7600,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,106513,2001,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
216,3717 Huckleberry Dr , Fort Worth, TX,76137,32.88047,-97.303214,1,rooftop,3717,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,113924,2007,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
217,1309 E Pulaski St , Fort Worth, TX,76104,32.734182,-97.309685,1,rooftop,1309,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,123100,1100,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
218,949 Judd St  , Fort Worth, TX,76104,32.712388,-97.316135,1,rooftop,949,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,104505,3013,3,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
219,4451 Meadowbrook Dr , Fort Worth, TX,76103,32.74603,-97.256266,1,rooftop,4451,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,101401,4019,4,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
224,732 Cheltenham Dr , Fort Worth, TX,76140,32.641991,-97.284156,1,rooftop,732,Tarrant County,US,Tarrant County,2019,48,48439,Everman,4824912,111202,1005,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
225,1901 Handley Dr  , Fort Worth, TX,76112,32.751589,-97.215822,1,rooftop,1901,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,106503,2008,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
226,1401 Morrison Dr , Fort Worth, TX,76112,32.75856,-97.189651,1,rooftop,1401,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,106512,1003,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,6
227,1008 S Retta St , Fort Worth, TX,76111,32.756691,-97.303727,1,range_interpolation,1008,Tarrant County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48439,Fort Worth,4827000,101700,2036,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
228,5732 Whittlesey Rd , Fort Worth, TX,76119,32.698331,-97.233751,1,rooftop,5732,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,106400,2050,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
229,2756 Scarborough Dr , Grand Prairie, TX,75052,32.671159,-97.050904,1,rooftop,2756,Tarrant County,US,Tarrant County,2019,48,48439,Grand Prairie,4830464,111538,3006,3,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
232,4404 Kings Oaks Ln  , Fort Worth, TX,76111,32.769434,-97.283155,1,rooftop,4404,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,101201,2035,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
233,512 Magdalen Ave , Crowley, TX,76036,32.582471,-97.329767,1,rooftop,512,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,111013,1000,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
234,2801 Meadowview Dr , Arlington, TX,76016,32.698325,-97.169249,1,rooftop,2801,Tarrant County,US,Tarrant County,2019,48,48439,Arlington,4804000,111529,1000,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,2
236,1937 Crooked Ln , Fort Worth, TX,76112,32.749822,-97.186041,1,range_interpolation,1937,Tarrant County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48439,Fort Worth,4827000,106512,1015,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
237,8537 La Plaza Dr 4, Fort Worth, TX,76108,32.741266,-97.466536,1,range_interpolation,8537,Tarrant County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48439,White Settlement,4878544,110704,2027,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,4
240,8602 Marietta Ct , Fort Worth, TX,76123,32.616498,-97.369414,1,range_interpolation,8602,Tarrant County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48439,Fort Worth,4827000,111012,3033,3,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
241,1907 Daytona Dr , Arlington, TX,76014,32.693606,-97.079605,1,rooftop,1907,Tarrant County,US,Tarrant County,2019,48,48439,Arlington,4804000,111521,2050,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
242,6809 S Creek Dr , Fort Worth, TX,76133,32.644634,-97.360242,1,rooftop,6809,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,105704,4001,4,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
243,6945 Sunflower N Cir , Fort Worth, TX,76120,32.774029,-97.208345,0.9,rooftop,6945,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,106511,2001,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
244,1312 E Cannon St 104, Fort Worth, TX,76104,32.736999,-97.309746,1,rooftop,1312,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,123100,3024,3,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
245,5304 ANDERSON ST , FORT WORTH, TX,76105,32.717003,-97.240921,1,rooftop,5304,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,106300,2008,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
246,5316 ANDERSON ST , FORT WORTH, TX,76105,32.717002,-97.240383,1,rooftop,5316,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,106300,2008,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
247,7323 Tradition Dr , Forest Hill, TX,76140,32.647253,-97.271349,1,rooftop,7323,Tarrant County,US,Tarrant County,2019,48,48439,Forest Hill,4826544,111102,3029,3,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
248,2121 Handley Dr  , Fort Worth, TX,76112,32.747861,-97.215055,1,rooftop,2121,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,106503,3008,3,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,4
249,8027 Julie Ave , Fort Worth, TX,76116,32.727856,-97.452447,1,range_interpolation,8027,Tarrant County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48439,Fort Worth,4827000,105201,1008,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
251,8553 La Plaza Dr 9, Fort Worth, TX,76108,32.741247,-97.466054,1,range_interpolation,8553,Tarrant County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48439,White Settlement,4878544,110704,2027,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
252,6501 Shady Oaks Manor Dr , Fort Worth, TX,76135,32.8021,-97.424819,0.9,range_interpolation,6501,Tarrant County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48439,Fort Worth,4827000,106600,1013,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
253,2209 Oakwood Ln , Arlington, TX,76012,32.759193,-97.146192,1,rooftop,2209,Tarrant County,US,Tarrant County,2019,48,48439,Arlington,4804000,121604,1002,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
254,1353 Cattle Crossing Dr , Fort Worth, TX,76131,32.893883,-97.338269,1,rooftop,1353,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,113926,1009,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
255,517 Fossil Hill Dr , Arlington, TX,76002,32.626217,-97.103715,1,rooftop,517,Tarrant County,US,Tarrant County,2019,48,48439,Arlington,4804000,111550,2000,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
257,7326 Tradition Dr , Forest Hill, TX,76140,32.647164,-97.271895,1,rooftop,7326,Tarrant County,US,Tarrant County,2019,48,48439,Forest Hill,4826544,111102,3027,3,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
258,4821 Rickee Dr , Fort Worth, TX,76115,32.67787,-97.311145,1,rooftop,4821,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,105902,2001,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
259,6811 Springdale Ln , North Richland Hills, TX,76182,32.876844,-97.232092,1,rooftop,6811,Tarrant County,US,Tarrant County,2019,48,48439,North Richland Hills,4852356,113214,1013,1,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
260,6341 Rockhaven Dr , Fort Worth, TX,76179,32.853931,-97.40729,1,rooftop,6341,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,114007,3015,3,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
261,7451 Tiffany Meadows Ln  , Fort Worth, TX,76140,32.646921,-97.283632,1,rooftop,7451,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,106004,4001,4,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
262,6647 S Creek Dr , Fort Worth, TX,76133,32.647188,-97.3594,1,range_interpolation,6647,Tarrant County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48439,Fort Worth,4827000,105704,2000,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
263,3236 Indio St , Fort Worth, TX,76133,32.652107,-97.363185,1,rooftop,3236,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,105703,2017,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
264,5036 Norma St , Fort Worth, TX,76103,32.742774,-97.245606,1,rooftop,5036,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,101403,2005,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
265,509 Pineview Ln , Fort Worth, TX,76140,32.597167,-97.326099,1,rooftop,509,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,111013,3004,3,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
267,2314 Bamboo Dr I206, Arlington, TX,76006,32.772961,-97.067925,1,rooftop,2314,Tarrant County,US,Tarrant County,2019,48,48439,Arlington,4804000,113115,2029,2,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
268,1135 Silverwood Dr , Arlington, TX,76006,32.764916,-97.065118,1,range_interpolation,1135,Tarrant County,US,TIGER/Line® dataset from the US Census Bureau,2019,48,48439,Arlington,4804000,113109,3002,3,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,1
269,8515 John T White Rd 1035, Fort Worth, TX,76120,32.766202,-97.169666,1,rooftop,8515,Tarrant County,US,Tarrant County,2019,48,48439,Fort Worth,4827000,106511,4010,4,4.84391E+14,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington-Grapevine, TX",23104,3
